Opel Corsa,136 200 zl,2 km,"136 KM • Elektryczna Elegance, 2022r. Elektryk !",https://www.otomoto.pl/osobowe/oferta/opel-corsa-elektryczna-elegance-2022r-elektryk-ID6G3tqK.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjN6dGVmdDh0azMxMjEtT1RPTU9UT1BMIn0.h0wo9JVsBud2TlCUef9b_rcWxAsCB-LmCjWoqcPY2OQ/image;s=320x240
Opel Corsa Corsa-e GS,134 600 zl,5 km,136 KM • e GS 136 KM 50 kWh Finansowanie 0% Od ręki !! 2023 !!,https://www.otomoto.pl/osobowe/oferta/opel-corsa-e-gs-136-km-50-kwh-finansowanie-0-od-reki-2023-ID6Fx8KC.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRyeHAwcWs0aW1uajMtT1RPTU9UT1BMIn0.dmfMEEkYhT8WfTqcK86Vzx1yCJhk7ACpA9euuBLhAz8/image;s=320x240
Opel Corsa Corsa-e Elegance,133 737 zl,3 km,136 KM • Corsa-e Elegance,https://www.otomoto.pl/osobowe/oferta/opel-corsa-corsa-e-elegance-ID6FBW6k.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind5bnk0MWdpbm02cTItT1RPTU9UT1BMIn0.975a6AoNy1eLACFWFj9WUxwbuRv5nBEDytTPN9-L5Rc/image;s=320x240
OPEL Corsa 1.4 Enjoy,39 900 zl,179 567 km,1398 cm3,"https://otomotoklik.pl/oferta/W0V0XEP68K4354123?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=opel-corsa-1.4-enjoy,opel,,,,,,,,,,,,,,,,&utm_campaign_id=1-4",https://cdn.otomotoklik.pl/static/W0V0XEP68K4354123/vc/exterior-closed_nr_001_small.jpg
Opel Corsa Corsa-e GS Line,129 700 zl,2 200 km,136 KM • e GS 136 KM 50 kWh od ręki !! 2022 !!,https://www.otomoto.pl/osobowe/oferta/opel-corsa-e-gs-136-km-50-kwh-od-reki-2022-ID6Fmgi1.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt2MWcyeG5paGY1cDItT1RPTU9UT1BMIn0.KXsCRlXh9yZT_-JDCcjFvgGC75BtHpyCAfSOxFKfKqE/image;s=320x240
Opel Corsa Corsa-e GS,114 500 zl,5 km,136 KM • CORSA-E GS 50kWh 136KM,https://www.otomoto.pl/osobowe/oferta/opel-corsa-corsa-e-gs-50kwh-136km-ID6FPbtf.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InF5NmZ1cmwwcXJqbDEtT1RPTU9UT1BMIn0.fshicNTMvJ9uvZCIWdwwVcsEoDZCRqq4QrjgHIGryVg/image;s=320x240
Opel Corsa Corsa-e Edition,104 950 zl,2 km,136 KM • / Najtańszy elektryk w regionie! / Fabrycznie nowy! / Atrakcyjny rabat,https://www.otomoto.pl/osobowe/oferta/opel-corsa-najtanszy-elektryk-w-regionie-fabrycznie-nowy-atrakcyjny-rabat-ID6G0deJ.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9uOXd5aXQzNWF2ZS1PVE9NT1RPUEwifQ.1FBeM78D5MzXcywqcOQgmYnPRdWYBm2R3czPAwSZx_A/image;s=320x240
Opel Corsa Corsa-e Ultimate Pack,95 900 zl,8 000 km,"136 KM • Jak nowa, Ultimate-najbogatsza, Gwarancja Vat23%",https://www.otomoto.pl/osobowe/oferta/opel-corsa-jak-nowa-ultimate-najbogatsza-gwarancja-vat23-ID6FZRBN.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJrMjcwZTd3Z3Jsei1PVE9NT1RPUEwifQ.3jLLdkOBh4XuBCbbsHoHKuAFOtpUYtWuQoRl8qiOjDU/image;s=320x240
Opel Corsa 1.2 S&S,88 000 zl,1 km,1 199 cm3 • 100 KM • Opel NOWA Corsa poliftowa - Corsa w nowoczesnym wydaniu,https://www.otomoto.pl/osobowe/oferta/opel-corsa-opel-nowa-corsa-poliftowa-corsa-w-nowoczesnym-wydaniu-ID6FUK0k.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind3NWtvb2lzZzg3ajEtT1RPTU9UT1BMIn0.Q4DwGBrE5LQSmwuhPVcLA_k7AO4-qGqPMd4YoqaGluc/image;s=320x240
OPEL Corsa 1.2 S&S,48 900 zl,82 664 km,1199 cm3,"https://otomotoklik.pl/oferta/VXKUPHMHDL4435525?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=opel-corsa-1.2-s&s,opel,,,,,,,,,,,,,,,,&utm_campaign_id=1-10",https://cdn.otomotoklik.pl/static/VXKUPHMHDL4435525/vc/exterior-closed_nr_000_small.jpg
